___November_2012_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 112   2   43.00  -87.00        1.8625
 113   2   45.00  -87.00        1.8625
 114   2   47.00  -87.00        1.8625
 115   2   49.00  -87.00        1.8625
 116   2   51.00  -87.00        1.8625
 117   2   53.00  -87.00        1.8625
 118   2   55.00  -87.00        1.8625
 119   2   57.00  -87.00        1.8625
 120   2   59.00  -87.00        1.8625
 121   2   61.00  -87.00        1.8625
 122   2   63.00  -87.00        1.8625
 123   2   65.00  -87.00        1.8625
 124   2   67.00  -87.00        1.8625
 125   2   69.00  -87.00        1.8625
 126   2   71.00  -87.00        1.8625
 127   2   73.00  -87.00        1.8625
 128   2   75.00  -87.00        1.8625
 129   2   77.00  -87.00        1.8625
 130   2   79.00  -87.00        1.8625
 131   2   81.00  -87.00        1.8625
 132   2   83.00  -87.00        1.8625
 133   2   85.00  -87.00        1.8625
 134   2   87.00  -87.00        1.8625
 135   2   89.00  -87.00        1.8625
 136   2   91.00  -87.00        1.8625
 137   2   93.00  -87.00        1.8625
 138   2   95.00  -87.00        1.8625
 139   2   97.00  -87.00        1.8625
 140   2   99.00  -87.00        1.8625
 141   2  101.00  -87.00        1.8625
 142   2  103.00  -87.00        1.8625
 143   2  105.00  -87.00        1.8625
 144   2  107.00  -87.00        1.8625
 145   2  109.00  -87.00        1.8625
 146   2  111.00  -87.00        1.8625
 147   2  113.00  -87.00        1.8625
 148   2  115.00  -87.00        1.8625
 149   2  117.00  -87.00        1.8625
 150   2  119.00  -87.00        1.8625
 151   2  121.00  -87.00        1.8625
 152   2  123.00  -87.00        1.8625
 153   2  125.00  -87.00        1.8625
 154   2  127.00  -87.00        1.8625
 155   2  129.00  -87.00        1.8625
 156   2  131.00  -87.00        1.8625
 157   2  133.00  -87.00        1.8625
 158   2  135.00  -87.00        1.8625
 159   2  137.00  -87.00        1.8625
 160   2  139.00  -87.00        1.8625
 161   2  141.00  -87.00        1.8625
 162   2  143.00  -87.00        1.8625
 163   2  145.00  -87.00        1.8625
 164   2  147.00  -87.00        1.8625
 165   2  149.00  -87.00        1.8625
 166   2  151.00  -87.00        1.8625
 167   2  153.00  -87.00        1.8625
 168   2  155.00  -87.00        1.8625
 169   2  157.00  -87.00        1.8625
 170   2  159.00  -87.00        1.8625
 171   2  161.00  -87.00        1.8625
 172   2  163.00  -87.00        1.8625
 173   2  165.00  -87.00        1.8625
 174   2  167.00  -87.00        1.8625
 175   2  169.00  -87.00        1.8625
 176   2  171.00  -87.00        1.8625
 177   2  173.00  -87.00        1.8625
 178   2  175.00  -87.00        1.8625
 179   2  177.00  -87.00        1.8625
 180   2  179.00  -87.00        1.8625
   1   3 -179.00  -85.00        1.8625
   2   3 -177.00  -85.00        1.8625
   3   3 -175.00  -85.00        1.8625
   4   3 -173.00  -85.00        1.8625
   5   3 -171.00  -85.00        1.8625
   6   3 -169.00  -85.00        1.8625
   7   3 -167.00  -85.00        1.8625
   8   3 -165.00  -85.00        1.8625
   9   3 -163.00  -85.00        1.8625
  10   3 -161.00  -85.00        1.8625
  11   3 -159.00  -85.00        1.8625
  12   3 -157.00  -85.00        1.8625
  13   3 -155.00  -85.00        1.8625
  14   3 -153.00  -85.00        1.8625
  15   3 -151.00  -85.00        1.8625
  16   3 -149.00  -85.00        1.8625
  17   3 -147.00  -85.00        1.8625
  18   3 -145.00  -85.00        1.8625
  19   3 -143.00  -85.00        1.8625
  20   3 -141.00  -85.00        1.8625
  21   3 -139.00  -85.00        1.8625
  22   3 -137.00  -85.00        1.8625
  23   3 -135.00  -85.00        1.8625
  24   3 -133.00  -85.00        1.8625
  25   3 -131.00  -85.00        1.8625
  26   3 -129.00  -85.00        1.8625
  27   3 -127.00  -85.00        1.8625
  28   3 -125.00  -85.00        1.8625
  29   3 -123.00  -85.00        1.8625
  30   3 -121.00  -85.00        1.8625
  31   3 -119.00  -85.00        1.8625
  32   3 -117.00  -85.00        1.8625
  33   3 -115.00  -85.00        1.8625
  34   3 -113.00  -85.00        1.8625
  35   3 -111.00  -85.00        1.8625
  36   3 -109.00  -85.00        1.8625
  37   3 -107.00  -85.00        1.8625
  38   3 -105.00  -85.00        1.8625
  39   3 -103.00  -85.00        1.8625
  40   3 -101.00  -85.00        1.8625
  41   3  -99.00  -85.00        1.8625
  42   3  -97.00  -85.00        1.8625
  43   3  -95.00  -85.00        1.8625
  44   3  -93.00  -85.00        1.8625
  45   3  -91.00  -85.00        1.8625
  46   3  -89.00  -85.00        1.8625
  47   3  -87.00  -85.00        1.8625
  48   3  -85.00  -85.00        1.8625
  49   3  -83.00  -85.00        1.8625
  50   3  -81.00  -85.00        1.8625
  51   3  -79.00  -85.00        1.8625
  52   3  -77.00  -85.00        1.8625
  53   3  -75.00  -85.00        1.8625
  54   3  -73.00  -85.00        1.8625
  55   3  -71.00  -85.00        1.8625
  56   3  -69.00  -85.00        1.8625
  57   3  -67.00  -85.00        1.8625
  58   3  -65.00  -85.00        1.8625
  59   3  -63.00  -85.00        1.8625
  60   3  -61.00  -85.00        1.8625
  61   3  -59.00  -85.00        1.8625
  62   3  -57.00  -85.00        1.8625
  63   3  -55.00  -85.00        1.8625
  64   3  -53.00  -85.00        1.8625
  65   3  -51.00  -85.00        1.8625
  66   3  -49.00  -85.00        1.8625
  67   3  -47.00  -85.00        1.8625
  68   3  -45.00  -85.00        1.8625
  69   3  -43.00  -85.00        1.8625
  70   3  -41.00  -85.00        1.8625
  71   3  -39.00  -85.00        1.8625
  72   3  -37.00  -85.00        1.8625
  73   3  -35.00  -85.00        1.8625
  74   3  -33.00  -85.00        1.8625
  75   3  -31.00  -85.00        1.8625
  76   3  -29.00  -85.00        1.8625
  77   3  -27.00  -85.00        1.8625
  78   3  -25.00  -85.00        1.8625
  79   3  -23.00  -85.00        1.8625
  80   3  -21.00  -85.00        1.8625
  81   3  -19.00  -85.00        1.8625
  82   3  -17.00  -85.00        1.8625
  83   3  -15.00  -85.00        1.8625
  84   3  -13.00  -85.00        1.8625
  85   3  -11.00  -85.00        1.8625
  86   3   -9.00  -85.00        1.8625
  87   3   -7.00  -85.00        1.8625
  88   3   -5.00  -85.00        1.8625
  89   3   -3.00  -85.00        1.8625
  90   3   -1.00  -85.00        1.8625
  91   3    1.00  -85.00        1.8625
  92   3    3.00  -85.00        1.8625
  93   3    5.00  -85.00        1.8625
  94   3    7.00  -85.00        1.8625
  95   3    9.00  -85.00        1.8625
  96   3   11.00  -85.00        1.8625
  97   3   13.00  -85.00        1.8625
  98   3   15.00  -85.00        1.8625
  99   3   17.00  -85.00        1.8625
 100   3   19.00  -85.00        1.8625
 101   3   21.00  -85.00        1.8625
 102   3   23.00  -85.00        1.8625
 103   3   25.00  -85.00        1.8625
 104   3   27.00  -85.00        1.8625
 105   3   29.00  -85.00        1.8625
 106   3   31.00  -85.00        1.8625
 107   3   33.00  -85.00        1.8625
 108   3   35.00  -85.00        1.8625
 109   3   37.00  -85.00        1.8625
 110   3   39.00  -85.00        1.8625
 111   3   41.00  -85.00        1.8625
 112   3   43.00  -85.00        1.8625
 113   3   45.00  -85.00        1.8625
 114   3   47.00  -85.00        1.8625
 115   3   49.00  -85.00        1.8625
 116   3   51.00  -85.00        1.8625
 117   3   53.00  -85.00        1.8625
 118   3   55.00  -85.00        1.8625
 119   3   57.00  -85.00        1.8625
 120   3   59.00  -85.00        1.8625
 121   3   61.00  -85.00        1.8625
 122   3   63.00  -85.00        1.8625
 123   3   65.00  -85.00        1.8625
 124   3   67.00  -85.00        1.8625
 125   3   69.00  -85.00        1.8625
 126   3   71.00  -85.00        1.8625
 127   3   73.00  -85.00        1.8625
 128   3   75.00  -85.00        1.8625
 129   3   77.00  -85.00        1.8625
 130   3   79.00  -85.00        1.8625
 131   3   81.00  -85.00        1.8625
 132   3   83.00  -85.00        1.8625
 133   3   85.00  -85.00        1.8625
 134   3   87.00  -85.00        1.8625
 135   3   89.00  -85.00        1.8625
 136   3   91.00  -85.00        1.8625
 137   3   93.00  -85.00        1.8625
 138   3   95.00  -85.00        1.8625
 139   3   97.00  -85.00        1.8625
 140   3   99.00  -85.00        1.8625
 141   3  101.00  -85.00        1.8625
 142   3  103.00  -85.00        1.8625
 143   3  105.00  -85.00        1.8625
 144   3  107.00  -85.00        1.8625
 145   3  109.00  -85.00        1.8625
 146   3  111.00  -85.00        1.8625
 147   3  113.00  -85.00        1.8625
 148   3  115.00  -85.00        1.8625
 149   3  117.00  -85.00        1.8625
 150   3  119.00  -85.00        1.8625
 151   3  121.00  -85.00        1.8625
 152   3  123.00  -85.00        1.8625
 153   3  125.00  -85.00        1.8625
 154   3  127.00  -85.00        1.8625
 155   3  129.00  -85.00        1.8625
 156   3  131.00  -85.00        1.8625
 157   3  133.00  -85.00        1.8625
 158   3  135.00  -85.00        1.8625
 159   3  137.00  -85.00        1.8625
 160   3  139.00  -85.00        1.8625
 161   3  141.00  -85.00        1.8625
 162   3  143.00  -85.00        1.8625
 163   3  145.00  -85.00        1.8625
 164   3  147.00  -85.00        1.8625
 165   3  149.00  -85.00        1.8625
 166   3  151.00  -85.00        1.8625
 167   3  153.00  -85.00        1.8625
 168   3  155.00  -85.00        1.8625
 169   3  157.00  -85.00        1.8625
 170   3  159.00  -85.00        1.8625
 171   3  161.00  -85.00        1.8625
 172   3  163.00  -85.00        1.8625
 173   3  165.00  -85.00        1.8625
 174   3  167.00  -85.00        1.8625
 175   3  169.00  -85.00        1.8625
 176   3  171.00  -85.00        1.8625
 177   3  173.00  -85.00        1.8625
 178   3  175.00  -85.00        1.8625
 179   3  177.00  -85.00        1.8625
 180   3  179.00  -85.00        1.8625
   1   4 -179.00  -83.00        1.8625
   2   4 -177.00  -83.00        1.8625
   3   4 -175.00  -83.00        1.8625
   4   4 -173.00  -83.00        1.8625
   5   4 -171.00  -83.00        1.8625
   6   4 -169.00  -83.00        1.8625
